Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name.1,Current or Former Name.1,GNIS Feature ID [NEW].1,Feature Type.1,State.1,County.1,Fed'l Land Mgmt Agency.1,Review List.1,Decision Date.1,CaseStatus.1,Primary (Mouth) DD Lat.1,Primary (Mouth) DD Long.1,Source DD Lat.1,Source DD Long.1,USGS Topo Map.1
Quinn Peak,,2797090.0,summit,NV,Humboldt,BLM,432.0,2018-09-13,approved,41.303333,-118.416389,,,Parrot Peak,Quinn Peak,,2797090.0,summit,NV,Humboldt,BLM,432.0,2018-09-13,approved,41.303333,-118.416389,,,Parrot Peak,Quinn Peak,,2797090.0,summit,NV,Humboldt,BLM,432.0,2018-09-13,approved,41.303333,-118.416389,,,Parrot Peak
Stanley Run,,2797091.0,stream,OH,Richland,,432.0,2018-09-13,approved,40.846681,-82.65815,40.842132,-82.661245,Crestline,Stanley Run,,2797091.0,stream,OH,Richland,,432.0,2018-09-13,approved,40.846681,-82.65815,40.842132,-82.661245,Crestline,Stanley Run,,2797091.0,stream,OH,Richland,,432.0,2018-09-13,approved,40.846681,-82.65815,40.842132,-82.661245,Crestline
Frost Pocket Run,,2797092.0,stream,PA,Columbia,,430.0,2018-09-13,approved,40.91505,-76.42826,40.932465,-76.393073,Catawissa,Frost Pocket Run,,2797092.0,stream,PA,Columbia,,430.0,2018-09-13,approved,40.91505,-76.42826,40.932465,-76.393073,Catawissa,Frost Pocket Run,,2797092.0,stream,PA,Columbia,,430.0,2018-09-13,approved,40.91505,-76.42826,40.932465,-76.393073,Catawissa
Potters Run,,2797093.0,stream,PA,Chester,,431.0,2018-09-13,approved,40.1345,-75.54092,40.12566,-75.54491,Phoenixville,Potters Run,,2797093.0,stream,PA,Chester,,431.0,2018-09-13,approved,40.1345,-75.54092,40.125659999999996,-75.54491,Phoenixville,Potters Run,,2797093.0,stream,PA,Chester,,431.0,2018-09-13,approved,40.1345,-75.54092,40.12566,-75.54491,Phoenixville
Kaskadenak,Mount Ascutney,1461813.0,summit,VT,Windsor,,424.0,2018-09-13,not approved,43.4445164,-72.4537019,,,Windsor,Kaskadenak,Mount Ascutney,1461813.0,summit,VT,Windsor,,424.0,2018-09-13,not approved,43.4445164,-72.45370190000001,,,Windsor,Kaskadenak,Mount Ascutney,1461813.0,summit,VT,Windsor,,424.0,2018-09-13,not approved,43.4445164,-72.45370190000001,,,Windsor
Emery Mountain,,2797094.0,summit,VT,Lamoille,,427.0,2018-09-13,approved,44.6918702,-72.7157543,,,Johnson,Emery Mountain,,2797094.0,summit,VT,Lamoille,,427.0,2018-09-13,approved,44.691870200000004,-72.7157543,,,Johnson,Emery Mountain,,2797094.0,summit,VT,Lamoille,,427.0,2018-09-13,approved,44.6918702,-72.7157543,,,Johnson
Baby Buffalo Bayou,,,stream,AR,St. Francis,,432.0,2018-10-11,not approved,35.058562,-90.690485,35.065414,-90.68657,Madison,Baby Buffalo Bayou,,,stream,AR,St. Francis,,432.0,2018-10-11,not approved,35.058562,-90.690485,35.065414000000004,-90.68656999999999,Madison,Baby Buffalo Bayou,,,stream,AR,St. Francis,,432.0,2018-10-11,not approved,35.058562,-90.690485,35.065414000000004,-90.68657,Madison
Seacrest Beach,,2797221.0,ppl,FL,Walton,,426.0,2018-10-11,approved,30.283098,-86.021541,,,Point Washington,Seacrest Beach,,2797221.0,ppl,FL,Walton,,426.0,2018-10-11,approved,30.283098,-86.021541,,,Point Washington,Seacrest Beach,,2797221.0,ppl,FL,Walton,,426.0,2018-10-11,approved,30.283098,-86.021541,,,Point Washington
Buntings Gut,,2797222.0,gut,MD,Worcester,NOAA| NPS,432.0,2018-10-11,approved,38.139286,-75.184196,,,Tingles Island,Buntings Gut,,2797222.0,gut,MD,Worcester,NOAA| NPS,432.0,2018-10-11,approved,38.139286,-75.184196,,,Tingles Island,Buntings Gut,,2797222.0,gut,MD,Worcester,NOAA| NPS,432.0,2018-10-11,approved,38.139286,-75.184196,,,Tingles Island
Tilley Mill Pond,,2797223.0,reservoir,NC,Surry,,431.0,2018-10-11,approved,36.31941,-80.53299,,,Siloam,Tilley Mill Pond,,2797223.0,reservoir,NC,Surry,,431.0,2018-10-11,approved,36.31941,-80.53299,,,Siloam,Tilley Mill Pond,,2797223.0,reservoir,NC,Surry,,431.0,2018-10-11,approved,36.31941,-80.53299,,,Siloam
Griffith Mill Pond,,2797224.0,reservoir,NC,Forsyth,,431.0,2018-10-11,approved,36.07248,-80.45442,,,Clemmons,Griffith Mill Pond,,2797224.0,reservoir,NC,Forsyth,,431.0,2018-10-11,approved,36.07248,-80.45442,,,Clemmons,Griffith Mill Pond,,2797224.0,reservoir,NC,Forsyth,,431.0,2018-10-11,approved,36.07248,-80.45442,,,Clemmons
Plumley Draw,Plumely Draw,1035594.0,valley,ND,Billings,FS,431.0,2018-10-11,approved,46.8347318,-103.5543235,46.8191802,-103.4932418,"Chimney Butte, Tracy Mountain",Plumley Draw,Plumely Draw,1035594.0,valley,ND,Billings,FS,431.0,2018-10-11,approved,46.8347318,-103.5543235,46.819180200000005,-103.49324179999999,"Chimney Butte, Tracy Mountain",Plumley Draw,Plumely Draw,1035594.0,valley,ND,Billings,FS,431.0,2018-10-11,approved,46.8347318,-103.5543235,46.81918020000001,-103.4932418,"Chimney Butte, Tracy Mountain"
Dragonfly Springs,,2797225.0,spring,NM,McKinley,FS,431.0,2018-10-11,approved,35.3388888,-108.5083333,,,Upper Nutria,Dragonfly Springs,,2797225.0,spring,NM,McKinley,FS,431.0,2018-10-11,approved,35.3388888,-108.50833329999999,,,Upper Nutria,Dragonfly Springs,,2797225.0,spring,NM,McKinley,FS,431.0,2018-10-11,approved,35.3388888,-108.5083333,,,Upper Nutria
Rose Creek,,2797226.0,stream,NM,McKinley,FS,431.0,2018-10-11,approved,35.333808,-108.516682,35.375529,-108.452352,Upper Nutria,Rose Creek,,2797226.0,stream,NM,McKinley,FS,431.0,2018-10-11,approved,35.333808000000005,-108.516682,35.375529,-108.452352,Upper Nutria,Rose Creek,,2797226.0,stream,NM,McKinley,FS,431.0,2018-10-11,approved,35.33380800000001,-108.516682,35.375529,-108.452352,Upper Nutria
Rose Springs,,2797227.0,spring,NM,McKinley,FS,431.0,2018-10-11,approved,35.3409722,-108.5108333,,,Upper Nutria,Rose Springs,,2797227.0,spring,NM,McKinley,FS,431.0,2018-10-11,approved,35.3409722,-108.51083329999999,,,Upper Nutria,Rose Springs,,2797227.0,spring,NM,McKinley,FS,431.0,2018-10-11,approved,35.3409722,-108.5108333,,,Upper Nutria
Fishback Run,Negro Run,1497882.0,stream,VA,Culpeper,,432.0,2018-10-11,approved,38.6681752,-77.902495,38.6786111,-77.9519444,Jeffersonton,Fishback Run,Negro Run,1497882.0,stream,VA,Culpeper,,432.0,2018-10-11,approved,38.6681752,-77.902495,38.678611100000005,-77.9519444,Jeffersonton,Fishback Run,Negro Run,1497882.0,stream,VA,Culpeper,,432.0,2018-10-11,approved,38.6681752,-77.902495,38.67861110000001,-77.9519444,Jeffersonton
Bert Loper Rapid,Twentyfour and One-half Mile Rapids,1854210.0,rapids,AZ,Coconino,NPS,425.0,2018-11-08,not approved,36.5819621,-111.7874767,,,North Canyon Point,Bert Loper Rapid,Twentyfour and One-half Mile Rapids,1854210.0,rapids,AZ,Coconino,NPS,425.0,2018-11-08,not approved,36.581962100000005,-111.7874767,,,North Canyon Point,Bert Loper Rapid,Twentyfour and One-half Mile Rapids,1854210.0,rapids,AZ,Coconino,NPS,425.0,2018-11-08,not approved,36.58196210000001,-111.7874767,,,North Canyon Point
Grandview Lake,,2797321.0,lake,FL,Lake,,432.0,2018-11-08,approved,28.741506,-81.698035,,,Astatula,Grandview Lake,,2797321.0,lake,FL,Lake,,432.0,2018-11-08,approved,28.741506,-81.698035,,,Astatula,Grandview Lake,,2797321.0,lake,FL,Lake,,432.0,2018-11-08,approved,28.741506,-81.698035,,,Astatula
Goswick Creek,,2797322.0,stream,GA,Fulton,,429.0,2018-11-08,approved,34.074775,-84.279439,34.072869,-84.291979,Roswell,Goswick Creek,,2797322.0,stream,GA,Fulton,,429.0,2018-11-08,approved,34.074775,-84.279439,34.072869,-84.291979,Roswell,Goswick Creek,,2797322.0,stream,GA,Fulton,,429.0,2018-11-08,approved,34.074775,-84.279439,34.072869,-84.291979,Roswell
High Water Falls,,2797323.0,falls,GA,Lumpkin,FS,431.0,2018-11-08,approved,34.723297,-83.920195,,,Neels Gap,High Water Falls,,2797323.0,falls,GA,Lumpkin,FS,431.0,2018-11-08,approved,34.723296999999995,-83.92019499999999,,,Neels Gap,High Water Falls,,2797323.0,falls,GA,Lumpkin,FS,431.0,2018-11-08,approved,34.723296999999995,-83.92019499999998,,,Neels Gap
Little Wildcat Creek,,2797324.0,stream,GA,Gwinnett,NPS,432.0,2018-11-08,approved,34.027342,-84.169825,34.010855,-84.137874,Duluth,Little Wildcat Creek,,2797324.0,stream,GA,Gwinnett,NPS,432.0,2018-11-08,approved,34.027342,-84.169825,34.010855,-84.137874,Duluth,Little Wildcat Creek,,2797324.0,stream,GA,Gwinnett,NPS,432.0,2018-11-08,approved,34.027342,-84.169825,34.010855,-84.137874,Duluth
Irwin Creek,,,stream,ID,Idaho,FS,431.0,2018-11-08,not approved,45.223967,-115.810258,45.259888,-115.76815,"Loon Lake, War Eagle Mountain",Irwin Creek,,,stream,ID,Idaho,FS,431.0,2018-11-08,not approved,45.223967,-115.810258,45.259888000000004,-115.76815,"Loon Lake, War Eagle Mountain",Irwin Creek,,,stream,ID,Idaho,FS,431.0,2018-11-08,not approved,45.223967,-115.810258,45.259888,-115.76815,"Loon Lake, War Eagle Mountain"
Tulip Creek,,,stream,IN,Noble,,428.0,2018-11-08,not approved,41.48848,-85.62194,41.493848,-85.584133,Ligonier,Tulip Creek,,,stream,IN,Noble,,428.0,2018-11-08,not approved,41.488479999999996,-85.62194000000001,41.493848,-85.584133,Ligonier,Tulip Creek,,,stream,IN,Noble,,428.0,2018-11-08,not approved,41.48848,-85.62194000000002,41.493848,-85.584133,Ligonier
Oonseentia Creek,,2797325.0,stream,IN,Noble,,429.0,2018-11-08,approved,41.48848,-85.62194,41.493848,-85.584133,Ligonier,Oonseentia Creek,,2797325.0,stream,IN,Noble,,429.0,2018-11-08,approved,41.488479999999996,-85.62194000000001,41.493848,-85.584133,Ligonier,Oonseentia Creek,,2797325.0,stream,IN,Noble,,429.0,2018-11-08,approved,41.48848,-85.62194000000002,41.493848,-85.584133,Ligonier
Ashby Creek,Negro Run,878701.0,stream,NJ,Monmouth,,431.0,2018-11-08,approved,40.1708724,-74.57886,40.1813447,-74.5150226,Allentown,Ashby Creek,Negro Run,878701.0,stream,NJ,Monmouth,,431.0,2018-11-08,approved,40.1708724,-74.57885999999999,40.181344700000004,-74.5150226,Allentown,Ashby Creek,Negro Run,878701.0,stream,NJ,Monmouth,,431.0,2018-11-08,approved,40.1708724,-74.57885999999998,40.1813447,-74.5150226,Allentown
Brintons Quarry Barrens,,2797326.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9147415,-75.5953293,,,West Chester,Brintons Quarry Barrens,,2797326.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9147415,-75.59532929999999,,,West Chester,Brintons Quarry Barrens,,2797326.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9147415,-75.59532929999997,,,West Chester
Chrome Barrens,,2797327.0,area,PA,Chester,,426.0,2018-11-08,approved,39.736454,-75.9453583,,,Bay View,Chrome Barrens,,2797327.0,area,PA,Chester,,426.0,2018-11-08,approved,39.736453999999995,-75.9453583,,,Bay View,Chrome Barrens,,2797327.0,area,PA,Chester,,426.0,2018-11-08,approved,39.736454,-75.9453583,,,Bay View
Hersheys Mill Barrens,,2797328.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9999886,-75.5684967,,,West Chester and Malvern,Hersheys Mill Barrens,,2797328.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9999886,-75.56849670000001,,,West Chester and Malvern,Hersheys Mill Barrens,,2797328.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9999886,-75.56849670000003,,,West Chester and Malvern
Fern Hill Barrens,,2797329.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9827957,-75.5983963,,,West Chester,Fern Hill Barrens,,2797329.0,area,PA,Chester,,426.0,2018-11-08,approved,39.982795700000004,-75.5983963,,,West Chester,Fern Hill Barrens,,2797329.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9827957,-75.5983963,,,West Chester
Marshallton Barrens,,2797330.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9508018,-75.6620636,,,Unionville,Marshallton Barrens,,2797330.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9508018,-75.6620636,,,Unionville,Marshallton Barrens,,2797330.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9508018,-75.6620636,,,Unionville
Nottingham Barrens,,2797331.0,rea,PA,Chester,,426.0,2018-11-08,approved,39.7341666,-76.0405555,,,Rising Sun,Nottingham Barrens,,2797331.0,rea,PA,Chester,,426.0,2018-11-08,approved,39.7341666,-76.04055550000001,,,Rising Sun,Nottingham Barrens,,2797331.0,rea,PA,Chester,,426.0,2018-11-08,approved,39.7341666,-76.04055550000002,,,Rising Sun
Pink Hill Barrens,,2797332.0,area,PA,Delaware,,426.0,2018-11-08,approved,39.9282341,-75.4307632,,,Media,Pink Hill Barrens,,2797332.0,area,PA,Delaware,,426.0,2018-11-08,approved,39.928234100000005,-75.4307632,,,Media,Pink Hill Barrens,,2797332.0,area,PA,Delaware,,426.0,2018-11-08,approved,39.92823410000001,-75.4307632,,,Media
Sugartown Barrens,,2797333.0,area,PA,Chester,,426.0,2018-11-08,approved,40.009097,-75.524274,,,Malvern,Sugartown Barrens,,2797333.0,area,PA,Chester,,426.0,2018-11-08,approved,40.009097,-75.524274,,,Malvern,Sugartown Barrens,,2797333.0,area,PA,Chester,,426.0,2018-11-08,approved,40.009097,-75.524274,,,Malvern
Unionville Barrens,,2797334.0,area,PA,Chester,,426.0,2018-11-08,approved,39.9134483,-75.7127762,,,Unionville,Unionville Barrens,,2797334.0,area,PA,Chester,,426.0,2018-11-08,approved,39.91344829999999,-75.7127762,,,Unionville,Unionville Barrens,,2797334.0,area,PA,Chester,,426.0,2018-11-08,approved,39.91344829999999,-75.7127762,,,Unionville
Goat Hill Barrens,,2797335.0,area,"PA, MD","Chester, Cecil",,427.0,2018-11-08,approved,39.7273369,-76.0853424,,,Rising Sun,Goat Hill Barrens,,2797335.0,area,"PA, MD","Chester, Cecil",,427.0,2018-11-08,approved,39.7273369,-76.08534240000002,,,Rising Sun,Goat Hill Barrens,,2797335.0,area,"PA, MD","Chester, Cecil",,427.0,2018-11-08,approved,39.7273369,-76.08534240000002,,,Rising Sun
Serendipity Mountain,,,summit,AZ,Mohave,,433.0,2018-12-13,approved,35.42024,-113.73811,,,Valentine,Serendipity Mountain,,,summit,AZ,Mohave,,433.0,2018-12-13,approved,35.42024,-113.73811,,,Valentine,Serendipity Mountain,,,summit,AZ,Mohave,,433.0,2018-12-13,approved,35.42024,-113.73811,,,Valentine
Temple Butte,,,summit,CO,San Miguel,,433.0,2018-12-13,approved,37.896616,-108.530682,,,McKenna Peak,Temple Butte,,,summit,CO,San Miguel,,433.0,2018-12-13,approved,37.896615999999995,-108.53068200000001,,,McKenna Peak,Temple Butte,,,summit,CO,San Miguel,,433.0,2018-12-13,approved,37.896616,-108.530682,,,McKenna Peak
East Fork Browns Creek,Browns Creek,,stream,ID,Owyhee,BLM| DOD,432.0,2018-12-13,approved,42.8846192,-115.5684101,42.727446,-115.525832,"Indian Cove, Pence Butte",East Fork Browns Creek,Browns Creek,,stream,ID,Owyhee,BLM| DOD,432.0,2018-12-13,approved,42.8846192,-115.56841010000001,42.727446,-115.52583200000001,"Indian Cove, Pence Butte",East Fork Browns Creek,Browns Creek,,stream,ID,Owyhee,BLM| DOD,432.0,2018-12-13,approved,42.8846192,-115.5684101,42.727446,-115.525832,"Indian Cove, Pence Butte"
Betty Pond,Brazell Pond,616985.0,reservoir,MA,Worcester,,432.0,2018-12-13,not approved,42.5646636,-72.0999146,,,Templeton,Betty Pond,Brazell Pond,616985.0,reservoir,MA,Worcester,,432.0,2018-12-13,not approved,42.5646636,-72.09991459999999,,,Templeton,Betty Pond,Brazell Pond,616985.0,reservoir,MA,Worcester,,432.0,2018-12-13,not approved,42.5646636,-72.09991459999998,,,Templeton
Huesgen Creek,Housgen Creek,719894.0,stream,MO,Osage,,432.0,2018-12-13,approved,38.5983745,-91.9029555,38.5986528,-91.8576763,"Loose Creek, Luystown",Huesgen Creek,Housgen Creek,719894.0,stream,MO,Osage,,432.0,2018-12-13,approved,38.5983745,-91.9029555,38.598652799999996,-91.8576763,"Loose Creek, Luystown",Huesgen Creek,Housgen Creek,719894.0,stream,MO,Osage,,432.0,2018-12-13,approved,38.5983745,-91.9029555,38.5986528,-91.8576763,"Loose Creek, Luystown"
Katys Creek,,,stream,NC,Davidson,,431.0,2018-12-13,approved,35.986928,-80.287306,35.99264,-80.28531,Welcome,Katys Creek,,,stream,NC,Davidson,,431.0,2018-12-13,approved,35.986928000000006,-80.287306,35.99264,-80.28531,Welcome,Katys Creek,,,stream,NC,Davidson,,431.0,2018-12-13,approved,35.986928000000006,-80.287306,35.99264,-80.28531,Welcome
Tilleys Mill Pond,,,reservoir,NC,Stokes,,431.0,2018-12-13,approved,36.51336,-80.06709,,,Spencer,Tilleys Mill Pond,,,reservoir,NC,Stokes,,431.0,2018-12-13,approved,36.51336,-80.06709000000001,,,Spencer,Tilleys Mill Pond,,,reservoir,NC,Stokes,,431.0,2018-12-13,approved,36.51336,-80.06709000000002,,,Spencer
Jincys Spring,,,spring,NC,Forsyth,,431.0,2018-12-13,approved,36.0469,-80.31251,,,Winston-Salem West,Jincys Spring,,,spring,NC,Forsyth,,431.0,2018-12-13,approved,36.0469,-80.31251,,,Winston-Salem West,Jincys Spring,,,spring,NC,Forsyth,,431.0,2018-12-13,approved,36.0469,-80.31251,,,Winston-Salem West
Katys Spring,,,spring,NC,Davidson,,431.0,2018-12-13,approved,35.99264,-80.28531,,,Welcome,Katys Spring,,,spring,NC,Davidson,,431.0,2018-12-13,approved,35.99264,-80.28531,,,Welcome,Katys Spring,,,spring,NC,Davidson,,431.0,2018-12-13,approved,35.99264,-80.28531,,,Welcome
Mammoth Run,,,stream,PA,Crawford,,432.0,2018-12-13,approved,41.606242,-80.291806,41.611344,-80.284489,Conneaut Lake,Mammoth Run,,,stream,PA,Crawford,,432.0,2018-12-13,approved,41.606242,-80.29180600000001,41.611344,-80.28448900000001,Conneaut Lake,Mammoth Run,,,stream,PA,Crawford,,432.0,2018-12-13,approved,41.606242,-80.29180600000002,41.611344,-80.28448900000002,Conneaut Lake
Furman Lake,Swan Lake,1237496.0,reservoir,SC,Greenville,,433.0,2018-12-13,approved,34.9270382,-82.4407875,,,Paris Mountain,Furman Lake,Swan Lake,1237496.0,reservoir,SC,Greenville,,433.0,2018-12-13,approved,34.927038200000005,-82.4407875,,,Paris Mountain,Furman Lake,Swan Lake,1237496.0,reservoir,SC,Greenville,,433.0,2018-12-13,approved,34.927038200000005,-82.4407875,,,Paris Mountain
Persimmon Creek,,,stream,SC,Spartanburg,,433.0,2018-12-13,approved,35.002759,-81.956993,34.988239,-81.978966,Valley Falls (mouth),Persimmon Creek,,,stream,SC,Spartanburg,,433.0,2018-12-13,approved,35.002759000000005,-81.95699300000001,34.988239,-81.978966,Valley Falls (mouth),Persimmon Creek,,,stream,SC,Spartanburg,,433.0,2018-12-13,approved,35.002759000000005,-81.95699300000003,34.988239,-81.978966,Valley Falls (mouth)
Walkabout Mesa,,,summit,AZ,Yavapai,,429.0,2018-12-13,not approved,35.247749,-112.928767,,,Seligman West,Walkabout Mesa,,,summit,AZ,Yavapai,,429.0,2018-12-13,not approved,35.247749,-112.928767,,,Seligman West,Walkabout Mesa,,,summit,AZ,Yavapai,,429.0,2018-12-13,not approved,35.247749,-112.928767,,,Seligman West
Chenega,Chenega Bay,1421254.0,ppl,AK,Valdez-Cordova CA,,432.0,,review listed,60.0633333,-148.0113889,,,Seward A-3,Chenega,Chenega Bay,1421254.0,ppl,AK,Valdez-Cordova CA,,432.0,,review listed,60.0633333,-148.0113889,,,Seward A-3,Chenega,Chenega Bay,1421254.0,ppl,AK,Valdez-Cordova CA,,432.0,,review listed,60.0633333,-148.0113889,,,Seward A-3
Luna Lake,,,lake,AK,Sitka,FS,432.0,,review listed,56.922438,-135.134549,,,Port Alexander D-4,Luna Lake,,,lake,AK,Sitka,FS,432.0,,review listed,56.922438,-135.134549,,,Port Alexander D-4,Luna Lake,,,lake,AK,Sitka,FS,432.0,,review listed,56.922438,-135.134549,,,Port Alexander D-4
Ashishik Canyon,,,valley,AK,,,433.0,,review listed,54.136667,-168.248333,53.641667,-168.095,,Ashishik Canyon,,,valley,AK,,,433.0,,review listed,54.136667,-168.248333,53.641667000000005,-168.095,,Ashishik Canyon,,,valley,AK,,,433.0,,review listed,54.136667,-168.248333,53.64166700000001,-168.095,
Bogoslof Basin,,,basin,AK,Aleutians West Census Area,,433.0,,review listed,53.723333,-167.05,,,,Bogoslof Basin,,,basin,AK,Aleutians West Census Area,,433.0,,review listed,53.723333,-167.05,,,,Bogoslof Basin,,,basin,AK,Aleutians West Census Area,,433.0,,review listed,53.723333,-167.05,,,
Bogoslof Valley,,,valley,AK,,,433.0,,review listed,54.081667,-167.948333,53.933333,-167.795,,Bogoslof Valley,,,valley,AK,,,433.0,,review listed,54.081667,-167.94833300000002,53.933333,-167.795,,Bogoslof Valley,,,valley,AK,,,433.0,,review listed,54.081667,-167.94833300000005,53.933333,-167.795,
Bogoslof Canyon East,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.931667,-167.795,53.516667,-167.213333,,Bogoslof Canyon East,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.931667000000004,-167.795,53.516667000000005,-167.213333,,Bogoslof Canyon East,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.931667,-167.795,53.51666700000001,-167.213333,
Bogoslof Canyon West,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.931667,-167.795,53.351667,-167.808333,,Bogoslof Canyon West,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.931667000000004,-167.795,53.351667000000006,-167.808333,,Bogoslof Canyon West,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.931667,-167.795,53.351667000000006,-167.808333,
Bogoslof Sill,,,gap,AK,Aleutians West Census Area,,433.0,,review listed,53.702538,-167.188746,,,,Bogoslof Sill,,,gap,AK,Aleutians West Census Area,,433.0,,review listed,53.702538,-167.188746,,,,Bogoslof Sill,,,gap,AK,Aleutians West Census Area,,433.0,,review listed,53.702538,-167.188746,,,
Okmok Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,54.181667,-168.475,53.593333,-168.121667,,Okmok Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,54.181667000000004,-168.475,53.593332999999994,-168.121667,,Okmok Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,54.181667,-168.475,53.593333,-168.121667,
Chagak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,54.19,-168.948333,53.561667,-168.283333,,Chagak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,54.19,-168.94833300000002,53.56166700000001,-168.283333,,Chagak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,54.19,-168.94833300000005,53.56166700000001,-168.283333,
Inanudak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.745,-169.773333,53.3,-168.471667,,Inanudak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.745,-169.773333,53.3,-168.471667,,Inanudak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.745,-169.773333,53.3,-168.471667,
Umnak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.745,-169.771667,53.188333,-168.841667,,Umnak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.745,-169.77166699999998,53.18833299999999,-168.841667,,Umnak Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,53.745,-169.77166699999995,53.18833299999999,-168.841667,
Seguam Basin,,,basin,AK,,,433.0,,review listed,52.566667,-171.766667,,,,Seguam Basin,,,basin,AK,,,433.0,,review listed,52.566667,-171.76666699999998,,,,Seguam Basin,,,basin,AK,,,433.0,,review listed,52.566667,-171.76666699999996,,,
Seguam Sill,,,gap,AK,,,433.0,,review listed,52.703808,-171.88072,,,,Seguam Sill,,,gap,AK,,,433.0,,review listed,52.703807999999995,-171.88072,,,,Seguam Sill,,,gap,AK,,,433.0,,review listed,52.703808,-171.88072,,,
West Seguam Canyon,,,valley,AK,,,433.0,,review listed,53.043333,-172.496667,52.446667,-172.405,,West Seguam Canyon,,,valley,AK,,,433.0,,review listed,53.043333,-172.496667,52.446667000000005,-172.405,,West Seguam Canyon,,,valley,AK,,,433.0,,review listed,53.043333,-172.496667,52.44666700000001,-172.405,
Vostochnie Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,55.276667,-172.261667,57.253333,-170.015,,Vostochnie Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,55.276667,-172.261667,57.253333,-170.015,,Vostochnie Canyon,,,valley,AK,Aleutians West Census Area,,433.0,,review listed,55.276667,-172.261667,57.253333,-170.015,
East Saint Paul Canyon,,,valley,AK,,,433.0,,review listed,55.376667,-173.058333,57.3,-170.608333,,East Saint Paul Canyon,,,valley,AK,,,433.0,,review listed,55.376667000000005,-173.058333,57.3,-170.60833300000002,,East Saint Paul Canyon,,,valley,AK,,,433.0,,review listed,55.37666700000001,-173.058333,57.3,-170.60833300000004,
Bering Valley,,,valley,AK,,,433.0,,review listed,54.641667,-175.283333,54.081667,-167.948333,,Bering Valley,,,valley,AK,,,433.0,,review listed,54.641667000000005,-175.283333,54.081667,-167.94833300000002,,Bering Valley,,,valley,AK,,,433.0,,review listed,54.64166700000001,-175.283333,54.081667,-167.94833300000005,
Coffee Creek,Coffee Creek,47886.0,stream,AR,Ashley,USACE,425.0,,review listed,33.0429036,-92.0762447,33.131212,-91.963412,"Crossett North, Crossett South, Felsenthal Dam",Coffee Creek,Coffee Creek,47886.0,stream,AR,Ashley,USACE,425.0,,review listed,33.0429036,-92.0762447,33.131212,-91.963412,"Crossett North, Crossett South, Felsenthal Dam",Coffee Creek,Coffee Creek,47886.0,stream,AR,Ashley,USACE,425.0,,review listed,33.0429036,-92.0762447,33.131212,-91.963412,"Crossett North, Crossett South, Felsenthal Dam"
Ché Yagoodigúhn Creek,East Branch Squaw Creek,28735.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1464221,-111.9340411,34.1725,-111.8966667,Brooklyn Peak,Ché Yagoodigúhn Creek,East Branch Squaw Creek,28735.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1464221,-111.93404109999999,34.1725,-111.89666670000001,Brooklyn Peak,Ché Yagoodigúhn Creek,East Branch Squaw Creek,28735.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1464221,-111.9340411,34.1725,-111.8966667,Brooklyn Peak
